Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
PG,Gary Payton,8.1,2.3,5.5,3.1,1.1,3.2,4,81.08%,1.6,1.9,86.79%,1.6,2.1,75.86%,0.2,6.47,9,13.84,15.71,11.43,6.18,4.46,7.1,37.09
PF,Dino Radja,12.3,6.1,2.7,0.5,1.3,4.3,5,86.00%,3.2,3.3,96.97%,1.1,1.7,66.67%,1.1,11.47,15.25,10.8,5,6.5,8.27,9.7,6.98,36.98
C,Dikembe Mutombo,9.5,7.4,3.1,0.3,2,4.5,5,87.08%,4.5,4.9,90.28%,0,0.1,66.67%,0.5,8.54,18.5,12.4,3,10,8.65,12.58,0.25,36.97
SG,Klay Thompson,16.3,2.3,2.3,0.7,0.4,5.9,7.3,81.56%,1.7,2.1,79.84%,4.2,5.2,82.27%,0.2,12.96,8.44,6.69,4.53,3.77,11.44,5.32,20.77,36.96
C,Bam Adebayo,7.9,7.1,3.8,0.4,2.2,3.2,3.8,84.06%,2.4,2.7,88.89%,0.8,1.1,76.32%,0.7,7.21,17.75,15.2,4,11,6.15,6.67,5.81,36.9
SF,Trevor Ariza,14.2,2.1,2.9,0.7,0.4,5.2,6,87.22%,1.6,1.8,87.14%,3.6,4.1,87.26%,0.2,12.06,6.84,9.41,5.13,2.76,10.02,4.37,22.47,36.53
PF,Danny Ferry,12.6,4.2,3.3,0.4,0.9,4.8,6.1,78.71%,2.5,2.8,89.29%,2.3,3.3,69.72%,0.5,10.09,12.08,11.96,3.5,5.63,9.23,6.98,13.36,36.41
PG,Mike Conley,10.2,1.4,8.4,2.5,0.1,4,4.7,83.85%,2.4,2.6,92.31%,1.6,2.1,75.00%,0.6,8.91,5.6,21,12.5,1,7.69,8.65,7.14,36.25
PF,Thaddeus Young,11,3.7,2.8,0.5,1.3,4.4,5.1,86.80%,2.2,2.4,90.43%,2.2,2.6,83.50%,0.2,9.3,10.69,10.04,4.49,8.01,8.43,6.16,15.34,36.23
C,Shawn Bradley,7.9,7.4,3.2,0.2,2.6,3.5,3.9,89.22%,2.9,3,94.94%,0.6,0.9,69.57%,0.3,7.08,18.46,12.92,1.54,12.88,6.73,8.56,4.08,36.13
SG,Desmond Mason,15,2.3,2.4,0.5,0.5,5.7,6.6,87.29%,2.8,3.3,86.32%,2.9,3.3,88.24%,0.5,13.15,8.36,6.87,3.13,4.38,11,9.46,15.32,35.83
SF,Jerami Grant,12.8,3.4,2.7,0.5,0.8,5.3,6.2,85.13%,3.2,3.3,96.97%,2.1,2.9,73.65%,0.4,10.9,11.05,8.78,3.75,6,10.19,9.7,11.05,35.7
SG,Zach Lavine,15,1.8,2.9,1.1,0.2,5.9,6.7,86.90%,2.8,3,93.02%,3.1,3.7,81.99%,0.5,13.01,6.41,8.36,7.12,2.03,11.27,8.11,14.98,35.65
PG,Lonzo Ball,7.7,2.7,6.7,2.8,0.5,2.9,3.4,85.64%,1.1,1.2,90.48%,1.8,2.2,83.05%,0.2,6.48,10.94,16.79,13.96,4.91,5.62,3.04,9.14,35.44
