Rank,Position,Players,GP%,PPG,O.RPG,RPG,APG,SPG,BPG,TOPG,FGM,FGA,FG%,3PM,3PA,3PT %,TS%,FTR,Game Score
32,PG,Steve Nash,100.00%,7.5,0.2,2.4,10.2,2.5,0.3,0.4,2.9,3.7,76.88%,1.6,2.4,66.95%,91.51%,0.26,23.73
33,C,Darryl Dawkins,100.00%,11,3,11.7,2.8,0.2,4.1,0.2,5.4,5.9,90.87%,0.1,0.2,25.00%,87.15%,0.26,23.7
34,PF,Josh Smith,100.00%,13.8,0.9,8.2,3.7,0.4,1.7,0.3,6,7.2,82.49%,1.6,2.6,62.03%,91.93%,0.17,23.66
35,SG,Gradey Dick,100.00%,12.1,0.2,3.5,3.8,1.1,0.5,0.1,4.6,6.1,75.96%,2.7,3.9,69.23%,97.15%,0.07,22.75
36,PG,Jrue Holiday,100.00%,11,0.4,2.6,6.6,2.1,0.4,0.5,4.1,5.4,76.17%,2.1,3.3,63.36%,97.08%,0.2,22.69
37,C,Jack Sickma,100.00%,9.9,2.3,9.4,3.1,0.3,3.1,0.1,4.7,5,92.61%,0.5,0.7,64.00%,91.15%,0.29,22.32
38,SG,Joe Johnson,100.00%,15.8,0.2,2.4,2.7,0.5,0.4,0.2,6.3,8.4,75.40%,2.6,4.1,63.11%,87.22%,0.43,22.07
39,C,Nicolas Claxton,100.00%,8.9,1.8,11.2,2.2,0.3,4.8,0.1,4,4.5,89.38%,0.2,0.4,50.00%,84.42%,0.52,22.01
40,SG,Michael Cooper,100.00%,11.6,0.1,1.7,4.3,1.7,0.3,0.1,4.6,6.1,74.46%,2.4,3.4,68.93%,91.75%,0.13,21.99
41,SG,Derrick White,100.00%,11.8,0.1,2.1,4.9,1.5,0.4,0.3,4.7,5.9,78.81%,2.4,3.3,72.18%,95.12%,0.2,21.69
42,SG,Seth Curry,100.00%,15,0,1.7,2.6,0.7,0,0.3,5.4,7.6,71.49%,3.9,5.8,67.24%,94.70%,0.2,21.65
43,SF,Shane Battier,100.00%,11.7,0.2,2.7,2.4,0.8,0.3,0.1,4.4,5.4,80.98%,2.8,3.8,74.56%,104.92%,0.1,21.27
44,PG,Mike Conley,90.00%,13,0.1,2.2,6.9,1.5,0.1,0.5,5.2,6.2,83.41%,2,3,68.22%,91.69%,0.61,21.21
45,PG,Rajon Rondo,100.00%,5.7,0.2,3,10.6,2.3,0.1,0.4,2.4,3.1,76.98%,0.9,1.5,57.97%,91.66%,0,20.94
46,C,Willis Reed,100.00%,8.7,2.2,9.1,2.7,0.6,4.1,0.1,4,4.6,86.96%,0.3,0.7,40.00%,86.69%,0.27,20.72
47,SF,Bernard King,100.00%,10.6,0.4,3.8,4.1,1.2,0.4,0.2,4.4,5.4,80.74%,1.9,2.6,72.31%,97.89%,0,20.45
48,SG,Cam Thomas,100.00%,14.8,0.3,1.7,2.9,1,0.3,0.2,6.2,8.3,74.46%,1.8,2.9,63.19%,82.17%,0.48,19.84
49,SG,Tyrese Maxey,100.00%,11.7,0.2,1.8,4.1,1.3,0.1,0.2,4.4,6.2,71.15%,1.6,2.5,63.49%,84.79%,0.44,19.76
50,SF,Richard Jefferson,100.00%,11.2,0.2,2.8,2.6,0.5,0.2,0,4.1,5.5,74.45%,2.6,3.7,68.82%,91.92%,0.4,19.74
51,SF,Glen Rice,100.00%,12.5,0.2,2.1,2.8,0.4,0.5,0,4.6,7.4,61.79%,2.8,4.8,57.69%,80.35%,0.26,19.17
52,SF,Nicolas Batum,100.00%,8.4,0.3,4.3,5.1,0.7,0.4,0.2,3.2,4.3,75.00%,1.9,2.9,65.52%,95.29%,0.1,19.03
53,PG,Jeremy Lin,100.00%,6.6,0.1,1.8,7,1.5,0.5,0.3,2.5,3.6,71.03%,1.3,2.1,61.90%,85.29%,0.2,17.82
54,PF,Al Horford,100.00%,9,0.6,4.9,2.5,0.4,1,0,3.6,4.7,76.92%,1.4,2.3,63.16%,85.76%,0.4,17.75
55,PF,Dennis Rodman,80.00%,6.5,4.2,15,3.2,0.2,0.8,0.1,2.9,3.3,88.37%,0.5,0.8,60.61%,93.23%,0.13,17.65
56,SF,Gordon Hayward,100.00%,11.3,0.2,2.6,2.4,0.8,0.4,0.2,4.4,6.2,71.35%,2.4,3.7,65.18%,89.59%,0.1,17.62
57,SF,Taurean Prince,100.00%,10.8,0.1,2.7,2.7,0.5,0.4,0.3,4,5.1,78.74%,2.6,3.6,72.22%,99.63%,0.24,17.58
58,SG,Joe Ingles,100.00%,8.4,0.1,2.3,3.1,1.5,0.2,0.2,3,4.3,70.00%,2,2.9,67.65%,93.75%,0.11,16.83
59,C,Desagana Diop,100.00%,6.9,2.3,8.7,1.9,0.2,3.7,0.2,3.3,3.5,95.65%,0.2,0.3,80.00%,95.61%,0.1,16.77
60,C,Mo Bamba,100.00%,8.3,1,5.3,2.4,0.3,3.2,0.1,3.7,4.6,79.86%,0.9,1.5,59.09%,88.93%,0,16.7
61,PF,Charlie Villuanueva,100.00%,8.2,0.7,6.8,2,0.2,1.6,0,3.2,4.7,68.62%,1.4,2.6,52.43%,80.31%,0.25,16.66
